,Site,Configuration,rmse_Qle,mbe_Qle,d_Qle,rmse_Qh,mbe_Qh,d_Qh
52,Hyytiala,"['difTrans', 'exponential', 'BallBerry']",108.42310481062366,-16.26356699653138,0.9036523196723992,145.12888659692575,-9.921774610398716,0.5841270860859319
53,Hyytiala,"['difTrans', 'logBelowCanopy', 'Jarvis']",131.10109399482852,-19.33897158449338,0.9113638209210159,126.84829373625122,-6.996963136031208,0.5652226699894772
54,Hyytiala,"['simplExp', 'logBelowCanopy', 'Jarvis']",130.16264547896992,-19.30462802578844,0.9380730208233137,126.47254250266857,-6.8031916893999025,0.6409194020447792
55,Hyytiala,"['simplExp', 'exponential', 'BallBerry']",108.45849545492483,-16.387346758874397,0.9347332740411687,143.8656319780358,-9.590014127994074,0.5874336543462607
56,Loobos,"['simplExp', 'logBelowCanopy', 'BallBerry']",143.54247073292956,-25.4877158927766,0.5552242866630467,174.64435701815157,-13.347856361325872,0.25018171556097313
57,Loobos,"['difTrans', 'logBelowCanopy', 'BallBerry']",143.47665788855522,-25.394413088665388,0.5535000076132075,175.6963126503432,-13.58414313475039,0.25084313603370106
58,Loobos,"['difTrans', 'exponential', 'Jarvis']",164.62592004625742,-28.561483315473627,0.6726262000838067,159.3694534257821,-10.890145552488104,0.41762219640272424
59,Loobos,"['difTrans', 'exponential', 'BallBerry']",143.77981985359298,-25.441762211692296,0.5457936744595275,175.49288657221425,-13.69907621445941,0.25339437066647474
60,Loobos,"['difTrans', 'logBelowCanopy', 'Jarvis']",164.418478179952,-28.548300786105898,0.605264588794254,159.37205294431422,-10.742692496377693,0.41721066395301704
61,Loobos,"['simplExp', 'logBelowCanopy', 'Jarvis']",164.2412106579202,-28.57488525572714,0.6133902182964989,158.73375872717943,-10.573590377185198,0.3546215781967214
62,Loobos,"['simplExp', 'exponential', 'BallBerry']",143.87978182794237,-25.529686782361573,0.6759016080103435,174.3907098234096,-13.45175139426515,0.24554913780995588
63,Loobos,"['simplExp', 'exponential', 'Jarvis']",164.47620751581707,-28.581942940291082,0.554580403228048,158.7066419752231,-10.714449295297038,0.4174924062158042
64,Mopane,"['difTrans', 'logBelowCanopy', 'BallBerry']",116.60959287213204,-16.367001595927025,0.8963768135876177,283.0259704074622,-49.5124320900017,0.560375232568225
65,Mopane,"['simplExp', 'logBelowCanopy', 'BallBerry']",116.6614154676655,-16.386248188046405,0.59200039804553,283.63106164155005,-49.71989388025239,0.5123582034950993
66,Mopane,"['simplExp', 'exponential', 'BallBerry']",117.18320641413509,-16.452559433091718,1.0411380755327304,305.04419988260304,-52.34201923034953,0.6323462533023649
67,Mopane,"['simplExp', 'logBelowCanopy', 'Jarvis']",118.78749201869105,-16.386879648716825,0.6674907499954351,283.6158897948111,-49.71344059221575,0.5447371145673594
68,Mopane,"['simplExp', 'exponential', 'Jarvis']",119.32241233687432,-16.470598673374198,0.9172016777296905,305.0016116872851,-52.33196700728998,0.6872207959402948
69,Mopane,"['difTrans', 'exponential', 'Jarvis']",119.22578091783174,-16.46922802604293,0.7368898667500235,304.9017245053971,-52.2618877823258,0.6447136795337888
70,Mopane,"['difTrans', 'logBelowCanopy', 'Jarvis']",118.66129063715152,-16.392128540708498,0.6891949479850202,282.92737879012526,-49.49231090399875,0.5125106866082965
71,Mopane,"['difTrans', 'exponential', 'BallBerry']",117.14916962439177,-16.44029504383868,0.9743512298499567,304.9394326398597,-52.27648676466448,0.6347498148726233
72,Sylvania,"['simplExp', 'exponential', 'Jarvis']",137.8210140976866,-21.91254461802841,0.6861874573341379,164.08857405064856,-15.300137007665024,0.9258386556556287
73,Sylvania,"['simplExp', 'logBelowCanopy', 'Jarvis']",135.05949408263342,-21.21695848804244,0.692715418395545,165.0173044375858,-15.374134727359678,0.6830906369517543
74,Sylvania,"['simplExp', 'exponential', 'BallBerry']",131.3379637035068,-20.763584292877866,0.6690218971561039,169.9985472529104,-16.3192132032671,0.8496662146406775
75,Sylvania,"['difTrans', 'exponential', 'BallBerry']",130.94139873615242,-20.450764119739773,0.6575034503703991,171.62736261195926,-16.793569885753083,0.9355729112184683
76,Sylvania,"['difTrans', 'exponential', 'Jarvis']",137.68190154423286,-21.680019954758105,0.6537986447995052,165.32228649197606,-15.69735418620216,1.0227523018012183
77,Sylvania,"['difTrans', 'logBelowCanopy', 'Jarvis']",135.37481400871934,-21.0768373033842,0.7580192414010575,165.84862787437194,-15.673523282968981,0.7116629479228179
78,Sylvania,"['difTrans', 'logBelowCanopy', 'BallBerry']",128.94952445959203,-19.90047500749962,0.6323680365582998,171.88737384390546,-16.72322079857892,0.7755408043851344
79,Sylvania,"['simplExp', 'logBelowCanopy', 'BallBerry']",129.27683918557966,-20.158618318359615,0.7971647444853115,170.49612887532035,-16.315990172376008,0.74631597067086
